Fecha,MARGINALPDBC_1,MARGINALPDBC_2,MARGINALPDBCPT_1,MARGINALPDBCPT_2,Total Compras_ES,Total Ventas_ES,Total Compras_PT,Total Ventas_PT,Total Compras_MI,Total Ventas_MI
02/06/2018 0:00,60.69,60.69,60.69,60.69,18472.6,15187.2,5186.3,6271.7,23658.9,21458.9
02/06/2018 1:00,59.74,59.74,59.74,59.74,17421.9,14593.5,4896.7,5525.1,22318.6,20118.6
02/06/2018 2:00,59.3,59.3,59.3,59.3,16228.2,14113.7,4612.4,5226.9,20840.6,19340.6
02/06/2018 3:00,58.33,58.33,58.33,58.33,15500.7,13341.3,4444.9,5104.3,19945.6,18445.6
02/06/2018 4:00,58.0,58.0,58.0,58.0,15023.3,12843.1,4321.8,5002,19345.1,17845.1
02/06/2018 5:00,57.07,57.07,57.07,57.07,14815.9,12654.1,4274.1,4935.9,19090,17590
02/06/2018 6:00,56.64,56.64,56.64,56.64,14768.4,12363.9,4138.9,5043.4,18907.3,17407.3
02/06/2018 7:00,56.64,56.64,56.64,56.64,15219.4,12316.1,4034.1,5437.4,19253.5,17753.5
02/06/2018 8:00,57.13,57.13,57.13,57.13,16871.5,12734.5,4260.1,5947.1,21131.6,18681.6
02/06/2018 9:00,63.61,63.61,63.61,63.61,18313.9,14029.3,4679.4,6514,22993.3,20543.3
02/06/2018 10:00,64.97,64.97,64.97,64.97,19655.2,15439.3,5026.6,6792.5,24681.8,22231.8
02/06/2018 11:00,64.97,64.97,64.97,64.97,20174,16208.5,5213.5,6729,25387.5,22937.5
02/06/2018 12:00,64.97,64.97,64.97,64.97,20632.3,16828.2,5337.3,6691.4,25969.6,23519.6
02/06/2018 13:00,64.97,64.97,64.97,64.97,20957.2,17237.2,5371.9,6641.9,26329.1,23879.1
02/06/2018 14:00,62.86,62.86,62.86,62.86,20564.1,17268.4,5270.6,6116.3,25834.7,23384.7
02/06/2018 15:00,58.64,58.64,58.64,58.64,20105.2,16995.1,5177.6,5837.7,25282.8,22832.8
02/06/2018 16:00,55.0,55.0,55.0,55.0,19372.3,16481.3,5105.8,5546.8,24478.1,22028.1
02/06/2018 17:00,54.54,54.54,54.54,54.54,19030.6,15893.7,5015.5,5702.4,24046.1,21596.1
02/06/2018 18:00,56.13,56.13,56.13,56.13,18779.2,15416.2,4971.1,5884.1,23750.3,21300.3
02/06/2018 19:00,61.0,61.0,61.0,61.0,18804.3,15200.8,5037.2,6190.7,23841.5,21391.5
02/06/2018 20:00,64.29,64.29,64.29,64.29,19033.1,14952.1,5185.1,6816.1,24218.2,21768.2
02/06/2018 21:00,66.0,66.0,66.0,66.0,19563.3,15240.1,5267.4,7140.6,24830.7,22380.7
02/06/2018 22:00,66.0,66.0,66.0,66.0,19136.4,15128.9,5416.8,6974.3,24553.2,22103.2
02/06/2018 23:00,65.71,65.71,65.71,65.71,17801.4,14386,5205.3,6420.7,23006.7,20806.7
03/06/2018 0:00,64.97,64.97,64.97,64.97,16226.4,13722.9,4890.9,5194.4,21117.3,18917.3
03/06/2018 1:00,64.93,64.93,64.93,64.93,14800,13503.5,4543.3,4339.8,19343.3,17843.3
03/06/2018 2:00,62.86,62.86,62.86,62.86,14005.5,12982.7,4275.4,3798.2,18280.9,16780.9
03/06/2018 3:00,61.37,61.37,61.37,61.37,13526,12601.5,4083.8,3508.3,17609.8,16109.8
03/06/2018 4:00,56.64,56.64,56.64,56.64,13174.6,12151.6,3986.6,3509.6,17161.2,15661.2
03/06/2018 5:00,52.0,52.0,52.0,52.0,13141.2,12030.9,3895.4,3505.7,17036.6,15536.6
03/06/2018 6:00,50.2,50.2,50.2,50.2,12947.6,11895.5,3911.8,3463.9,16859.4,15359.4
03/06/2018 7:00,49.95,49.95,49.95,49.95,12948.2,11841.8,3936.1,3542.5,16884.3,15384.3
03/06/2018 8:00,50.0,50.0,50.0,50.0,13692.6,12314.7,3929.5,3807.4,17622.1,16122.1
03/06/2018 9:00,53.01,53.01,53.01,53.01,15284,13773,4090.5,4101.5,19374.5,17874.5
03/06/2018 10:00,55.0,55.0,55.0,55.0,16405,15079.1,4443.3,4269.2,20848.3,19348.3
03/06/2018 11:00,54.64,54.64,54.64,54.64,17295,16328.6,4743.4,4209.8,22038.4,20538.4
03/06/2018 12:00,53.13,53.13,53.13,53.13,17859.1,17131.4,4974.7,4202.4,22833.8,21333.8
03/06/2018 13:00,52.04,52.04,52.04,52.04,18374.2,17672.2,5090.3,4292.3,23464.5,21964.5
03/06/2018 14:00,52.51,52.51,52.51,52.51,18854.2,18157.8,4988.4,4184.8,23842.6,22342.6
03/06/2018 15:00,49.71,49.71,49.71,49.71,17929.6,17987.5,5568.4,4010.5,23498,21998
03/06/2018 16:00,48.75,46.97,48.75,46.97,17455.9,17755.9,5585.7,3785.7,23041.6,21541.6
03/06/2018 17:00,47.92,46.87,47.92,46.87,17229,17529,5696.5,3896.5,22925.5,21425.5
03/06/2018 18:00,46.75,46.75,46.75,46.75,17563.8,17007,5788.2,3895,23352,20902
03/06/2018 19:00,49.0,49.0,49.0,49.0,17640.2,16347.6,5513.9,4356.5,23154.1,20704.1
03/06/2018 20:00,51.5,51.5,51.5,51.5,18354.6,15499.7,4895.8,5300.7,23250.4,20800.4
03/06/2018 21:00,63.03,63.03,63.03,63.03,18724.8,16027.9,5106.5,5603.4,23831.3,21631.3
03/06/2018 22:00,64.97,64.97,64.97,64.97,18905.1,16261.4,5331.9,5775.6,24237,22037
03/06/2018 23:00,61.79,61.79,61.79,61.79,17383.2,15461.8,5159.1,4880.5,22542.3,20342.3
04/06/2018 0:00,55.69,55.69,55.69,55.69,16525,14336.1,4812.4,4801.3,21337.4,19137.4
04/06/2018 1:00,51.94,51.94,51.94,51.94,15221,13701,4508.6,4528.6,19729.6,18229.6
04/06/2018 2:00,49.95,49.95,49.95,49.95,14518.1,13451.2,4743.2,4310.1,19261.3,17761.3
04/06/2018 3:00,49.66,49.66,49.66,49.66,14224.5,13497.3,4967.1,4194.3,19191.6,17691.6
04/06/2018 4:00,49.0,49.0,49.0,49.0,14154.1,13494.8,4901.3,4060.6,19055.4,17555.4
04/06/2018 5:00,49.89,49.89,49.89,49.89,14483.4,13288.6,4774,4468.8,19257.4,17757.4
04/06/2018 6:00,55.0,55.0,55.0,55.0,16255.8,13918.7,4094.7,4931.8,20350.5,18850.5
04/06/2018 7:00,61.01,61.01,61.01,61.01,18775.3,14633,4254.9,5947.2,23030.2,20580.2
04/06/2018 8:00,63.01,63.01,63.01,63.01,20643.8,15970.1,4951.6,7275.3,25595.4,23245.4
04/06/2018 9:00,63.35,63.35,63.35,63.35,21631.8,16968.5,5743.6,8056.9,27375.4,25025.4
04/06/2018 10:00,62.8,62.8,62.8,62.8,22257,17737.6,6110.6,8280,28367.6,26017.6
04/06/2018 11:00,61.79,61.79,61.79,61.79,22852.5,18458.9,6195.9,8239.5,29048.4,26698.4
04/06/2018 12:00,61.97,61.97,61.97,61.97,23420.6,19109.8,6313.6,8274.4,29734.2,27384.2
04/06/2018 13:00,61.29,61.29,61.29,61.29,23897.9,19479,6171.4,8240.3,30069.3,27719.3
04/06/2018 14:00,58.67,58.67,58.67,58.67,23821.7,19658.7,6061.3,7874.3,29883,27533
04/06/2018 15:00,56.0,56.0,56.0,56.0,23429.7,19491.8,6090.7,7678.6,29520.4,27170.4
04/06/2018 16:00,55.0,55.0,55.0,55.0,23330.6,19550.6,6064.7,7494.7,29395.3,27045.3
04/06/2018 17:00,56.07,56.07,56.07,56.07,22867.3,19412.8,6087.9,7516.7,28955.2,26929.5
04/06/2018 18:00,58.27,58.27,58.27,58.27,21917.5,19079.2,5903.9,7614.3,27821.4,26693.5
04/06/2018 19:00,61.79,61.79,61.79,61.79,21538.1,18653,5858.2,7654.3,27396.3,26307.3
04/06/2018 20:00,61.17,61.17,61.17,61.17,21745.8,17560.8,5952.1,7787.1,27697.9,25347.9
04/06/2018 21:00,64.53,64.53,64.53,64.53,22068.6,17501.2,5978.4,8195.8,28047,25697
04/06/2018 22:00,63.79,63.79,63.79,63.79,20987.7,16893.2,6048.1,7792.6,27035.8,24685.8
04/06/2018 23:00,58.51,58.51,58.51,58.51,18618,15460,5745.8,6803.8,24363.8,22263.8
05/06/2018 0:00,53.22,53.22,53.22,53.22,18851.9,16150.6,5350.5,5951.8,24202.4,22102.4
05/06/2018 1:00,52.33,52.33,52.33,52.33,17395.5,15508.5,4901,4988,22296.5,20496.5
05/06/2018 2:00,51.0,51.0,51.0,51.0,16469.8,14703.9,4646.9,4612.8,21116.7,19316.7
05/06/2018 3:00,50.17,50.17,50.17,50.17,16080.6,14335.8,4606.7,4551.5,20687.3,18887.3
05/06/2018 4:00,50.01,50.01,50.01,50.01,15863.7,14031.9,4512.8,4544.6,20376.5,18576.5
05/06/2018 5:00,50.79,50.79,50.79,50.79,16204.1,14034.1,4378,4748,20582.1,18782.1
05/06/2018 6:00,53.13,53.13,53.13,53.13,17401.4,14837.9,4353,5116.5,21754.4,19954.4
05/06/2018 7:00,58.01,58.01,58.01,58.01,19792.1,15911.1,4444.9,6051.2,24237,21962.3
05/06/2018 8:00,62.8,62.8,62.8,62.8,21178.7,17230.3,5083.5,7018,26262.2,24248.3
05/06/2018 9:00,63.9,63.9,63.9,63.9,22110.6,18145.8,5846.6,7762.3,27957.2,25908.1
05/06/2018 10:00,63.79,63.79,63.79,63.79,22652.2,18942.7,6019.6,7828.3,28671.8,26771
05/06/2018 11:00,62.8,62.8,62.8,62.8,23241.4,19314.2,6114.9,7781,29356.3,27095.2
05/06/2018 12:00,62.86,62.86,62.86,62.86,23948.2,20113.2,6224.8,7709.8,30173,27823
05/06/2018 13:00,62.87,62.87,62.87,62.87,24467.1,20576.7,6068,7658.4,30535.1,28235.1
05/06/2018 14:00,62.8,62.8,62.8,62.8,23816.1,20451.6,6013.9,7078.4,29830,27530
05/06/2018 15:00,60.0,60.0,60.0,60.0,23158.4,20383.2,6206.4,6681.6,29364.8,27064.8
05/06/2018 16:00,60.0,60.0,60.0,60.0,23148.8,20434.3,6192.4,6606.9,29341.2,27041.2
05/06/2018 17:00,60.0,60.0,60.0,60.0,22898.1,20097.1,6174.7,6675.7,29072.8,26772.8
05/06/2018 18:00,59.46,59.46,59.46,59.46,22444,19491.8,5947.2,6668.2,28391.2,26160
05/06/2018 19:00,62.7,62.7,62.7,62.7,21890.8,19309.2,5866.4,7105.1,27757.2,26414.3
05/06/2018 20:00,62.07,62.07,62.07,62.07,22292.6,18715.6,5945,7222,28237.6,25937.6
05/06/2018 21:00,64.0,64.0,64.0,64.0,22666.4,18726.5,5964.7,7604.6,28631.1,26331.1
05/06/2018 22:00,63.0,63.0,63.0,63.0,21771.9,18253.5,6007.9,7226.3,27779.8,25479.8
05/06/2018 23:00,59.0,59.0,59.0,59.0,19724,16973.7,5694,6344.3,25418,23318
06/06/2018 0:00,62.03,62.03,62.03,62.03,18334.4,15202.9,5308.2,6339.7,23642.6,21542.6
06/06/2018 1:00,61.33,61.33,61.33,61.33,17077.5,14964.6,4986,5298.9,22063.5,20263.5
06/06/2018 2:00,58.02,58.02,58.02,58.02,16564,14415.2,4717.8,5066.6,21281.8,19481.8
06/06/2018 3:00,56.64,56.64,56.64,56.64,16106.1,13923,4561.6,4944.7,20667.7,18867.7
06/06/2018 4:00,56.64,56.64,56.64,56.64,15946.4,13689.9,4484,4940.5,20430.4,18630.4
06/06/2018 5:00,57.52,57.52,57.52,57.52,16190.2,13656,4416.1,5150.3,20606.3,18806.3
06/06/2018 6:00,62.21,62.21,62.21,62.21,17590.8,13835.9,4371.6,6326.5,21962.4,20162.4
06/06/2018 7:00,64.29,64.93,64.29,64.93,20288.3,14988.3,4475.1,7475.1,24763.4,22463.4
06/06/2018 8:00,64.55,65.35,64.55,65.35,22104.8,16804.8,5196.7,8196.7,27301.5,25001.5
06/06/2018 9:00,64.96,65.65,64.96,65.65,22799.5,18017.6,5972.9,8972.9,28772.4,26990.5
06/06/2018 10:00,65.11,65.11,65.11,65.11,23390.1,18150.1,6109.5,9049.5,29499.6,27199.6
06/06/2018 11:00,65.0,65.0,65.0,65.0,23964.8,18876.8,6242.7,9030.7,30207.5,27907.5
06/06/2018 12:00,65.19,65.19,65.19,65.19,24289.1,19306.6,6316.6,8999.1,30605.7,28305.7
06/06/2018 13:00,65.0,65.0,65.0,65.0,24572.2,19628.8,6312.8,8956.2,30885,28585
06/06/2018 14:00,64.13,64.13,64.13,64.13,23737.2,19680.1,6227.9,7985,29965.1,27665.1
